Periodo|Fecha_Venta|ID|cod_plantarif|procedencia|id_articulo|descripcion_articulo|Descripcion_canal|Regional|departamento|Ciudad|SEC_CUOTA|des_fabricante|Ind_Portado|id_vendedor|id_punto|Id_Oficina|id_agente|nom_punto|Nom_Oficina|nom_agente|VAC|TIPO_VENTA|Segmento_Alta|Disney_Incluido|Disney_Activo|Netflix_Incluido|Netflix_Activo|Clientes_domiciliados|Domiciliacion_Pago|Flag_Trafico_Saliente|FLAGENTREGASIM|TipoRenta|cb_coniva|TIP_CHURN|TIP_ACCION|CANAL_VENTA|SEGMENTO
202604|10/04/2026|47379|100764|T|?|?|CENTROS DE EXPERIENCIA|ORIENTE|NORTE DE SANTANDER|CUCUTA|?|Apple|NO|709835|9900100010051|9900100010051|990010001|CE CUCUTA AV 0|CE CUCUTA AV 0|CENTROS DE EXPERIENCIA|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|NO|Vencido|21090|?|?|?|?
202604|11/04/2026|49044|100764|T|?|?|PUERTA A PUERTA|BOGOTA|BOGOTA|BOGOTA|?|Samsung|SI|726869|9900210080021|9900210080021|1619116550245200000|MOVILSTAR SAS PAP BOGOTA SUR|MOVILSTAR SAS PAP BOGOTA SUR|MOV&L STAR SAS|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|NO|Vencido|21090|?|?|?|?
202604|09/04/2026|49679|101091|T|?|?|CENTROS COMERCIALES|BOGOTA|BOGOTA|BOGOTA|?|Apple|NO|724676|9900200160057|9900200160057|990020016|TD DISTRIPRESS CC GRAN PLAZA BOSA CL 65|TD DISTRIPRESS CC GRAN PLAZA BOSA CL 65|DISTRIPRESS SAS|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|NO|Vencido|52990|?|?|?|?
202604|18/04/2026|50504|101149|T|?|?|CROSSELLING|BOGOTA|BOGOTA|BOGOTA|?|Apple|SI|697893|9900202020013|9900202020013|990020202|CROSS SELLING - ATENTO|CROSS SELLING - ATENTO|ATENTO COLOMBIA S.A.|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|SI|Vencido|47990|?|?|?|?
202604|18/04/2026|51184|101089|T|?|?|CANAL ONLINE|PAIS|PAIS|PAIS|?|Apple|SI|722742|9900202020034|9900202020034|990020202|CANAL ON LINE - ATENTO OUT BOUND|CANAL ON LINE - ATENTO OUT BOUND|ATENTO COLOMBIA S.A.|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|SI|Vencido|52990|?|?|?|?
202604|10/04/2026|51809|101089|T|?|?|CENTROS DE EXPERIENCIA|SUR|VALLE DEL CAUCA|CARTAGO|?|Apple|SI|456645|9900100010049|9900100010049|990010001|CE CARTAGO|CE CARTAGO|CENTROS DE EXPERIENCIA|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|NO|Vencido|52990|?|?|?|?
202604|13/04/2026|52832|101089|T|?|?|TELEVENTAS|PAIS|PAIS|PAIS|?|Samsung|SI|725946|9900210350001|9900210350001|1710776670555220000|TELEVENTAS - CALL EXPRES INSURANCE|TELEVENTAS - CALL EXPRES INSURANCE|INSURANCE & CAPITAL LTDA|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|SI|Vencido|52990|?|?|?|?
202604|09/04/2026|54166|101149|V|TMGCOHNSMARTPL00|TEL HONOR 400 SMART 5G 12+256GB PLATA|CENTROS DE EXPERIENCIA|CARIBE|SUCRE|SINCELEJO|?|HONOR|SI|626052|9900100010089|9900100010089|990010001|CE SINCELEJO|CE SINCELEJO|CENTROS DE EXPERIENCIA|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|NO|Vencido|47990|?|?|?|?
202604|17/04/2026|55443|101089|T|?|?|TELEVENTAS|PAIS|PAIS|PAIS|?|Samsung|SI|705278|9900210050001|9900210050001|1611760962464040000|TELEVENTAS - BECALL|TELEVENTAS - BECALL|BECALL|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|NO|Vencido|52990|?|?|?|?
202604|13/04/2026|55591|101089|T|?|?|TELEVENTAS|PAIS|PAIS|PAIS|?|Samsung|SI|720736|9900210050001|9900210050001|1611760962464040000|TELEVENTAS - BECALL|TELEVENTAS - BECALL|BECALL|NO|ASISTIDO|Residencial|0|0|0|0|0|0|SIN INFORMACION|SI|Vencido|52990|?|?|?|?
